t,symbol,res,r,strategy,velocity,zscore,signal
2025-12-24 23:00:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.18221018888110602,2.553941176611444,1.3447
2025-12-25 00:00:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.1197914245395431,-4.366321395812801,-1.9571
2025-12-25 00:05:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.19003887224682642,-4.50250633883567,-1.9782
2025-12-25 00:10:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.2440486978854766,-4.11837682186694,-1.9999
2025-12-25 00:15:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.2922101106516313,-3.805413805925844,-1.9231
2025-12-25 00:20:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.34986961665463845,-3.539936560574754,-1.8224
2025-12-25 00:55:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.028023504019615026,3.2763838849575366,1.7472
2025-12-25 07:30:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.028076151865251444,3.4856966233457065,1.7815
2025-12-26 13:05:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.1051991079146186,2.6371925180446523,1.3926
2025-12-26 13:10:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.1943531458460146,3.019378599224255,1.6105
2025-12-26 13:15:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.2520197931715458,2.347082892900919,1.2922
2025-12-26 13:30:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.3708859273443018,2.7591227433180427,1.5405
2025-12-26 13:35:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.4189070432997831,2.8001409124550496,1.5747
2025-12-29 04:55:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,-0.25677710941910176,-2.4225061716165746,-1.2616
2025-12-29 05:00:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,-0.3077152053971329,-2.58814737064284,-1.3635
2025-12-29 05:05:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,-0.3649387829407163,-2.950710650141759,-1.5532
2025-12-29 05:10:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.4185583193969181,-3.227671841156788,-1.7015
2025-12-29 05:15:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.458008891068478,-2.9929819145522982,-1.5994
2025-12-29 05:20:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.5050973329734795,-2.999851471199232,-1.6208
2025-12-29 05:25:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.5372311050485173,-2.799020460382613,-1.5337
2025-12-29 05:30:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.5140877468355165,-2.431043576217713,-1.3347
2025-12-30 07:20:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.07253800401527492,-2.65505179380788,-1.2758
2025-12-30 11:50:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,-0.1250533303597909,-1.82941876204416,-0.9655
2025-12-30 11:55:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,-0.15910611528870267,-1.7584076593428426,-0.9452
2025-12-30 12:00:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.19909304181547555,-2.4589615762855965,-1.304
2025-12-30 12:05:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.2604670828670726,-2.68282492292256,-1.439
2025-12-30 12:15:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.2977991993711677,-2.436210425830033,-1.3227
2025-12-30 12:20:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.31315893443274945,-2.30388463663517,-1.2674
2025-12-30 13:05:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.24702766980755042,-2.6452830281312343,-1.4133
2025-12-30 15:25:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.1118540283985067,-2.574406386265533,-1.2871
2025-12-30 15:40:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.16771680143393303,-2.604615703693304,-1.314
2025-12-30 15:45:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.1894577206318406,-2.4571372104147065,-1.2491
2025-12-30 19:50:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.2301102444126313,-2.3441885482099747,-1.2732
2025-12-31 02:35:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.3051010025499237,-2.403744645135049,-1.2569
2025-12-31 02:40:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.3237189106909241,-2.4175550189404587,-1.2698
2025-12-31 02:45:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.34496240913132964,-2.4421234433162784,-1.3025
2025-12-31 02:55:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.28931344215124866,-2.488435453641865,-1.3075
2025-12-31 04:15:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.020302431879517246,-2.5114262538876395,-1.2668
2025-12-31 04:25:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.0473932618968922,-2.3335071723701226,-1.1973
2025-12-31 04:30:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,-0.06794585979990958,-2.2448943519208813,-1.1583
2025-12-31 04:35:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,-0.1194157960367814,-2.6067079072812196,-1.354
2025-12-31 04:40:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,-0.14825536390209243,-2.5036064309684876,-1.3095
2025-12-31 04:45:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.1876760876276456,-2.816121721821393,-1.4745
2025-12-31 04:50:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.21823555020557794,-3.0738188740899646,-1.5974
2025-12-31 04:55:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.28701595015456505,-3.2750351541139175,-1.7182
2025-12-31 05:15:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.37159878873871566,-2.4188035878701593,-1.3296
2025-12-31 08:35:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,-0.08330972292661849,-2.602235938401544,-1.263
2025-12-31 08:45:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.13721908070638042,-3.1628545931164864,-1.5464
2025-12-31 08:50:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.1903146979959069,-2.741305559649776,-1.3561
2025-12-31 08:55:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.2377158682916072,-2.840517384192049,-1.4151
2026-01-02 00:35:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.198773798192763,2.0387244733248044,1.1087
2026-01-02 00:40:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.20445848919624118,2.006898795083949,1.0891
2026-01-02 00:45:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.2175455030956874,2.4003408452772206,1.2844
2026-01-02 07:30:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.18526741205090974,-2.653103053238678,-1.2901
2026-01-02 08:15:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.2563555136921308,-2.5778480582581023,-1.2635
2026-01-05 02:40:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.3614602438710595,-2.40048712350333,-1.2785
2026-01-05 02:45:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.412680098910363,-2.316888446421698,-1.2589
2026-01-05 03:15:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,-0.5026787036207209,-2.214112225295806,-1.2511
2026-01-05 03:20:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,-0.4596394391165075,-2.631112807363785,-1.4199
