time,symbol,outcome,confidence,ema_slope,h1_dist,max_fav,direction
2025-11-11 01:15:00+00:00,USDJPY=X,LOSS,9.0,,,0.196,SELL
2025-11-11 08:30:00+00:00,USDJPY=X,LOSS,9.0,,,0.145,SELL
2025-11-11 13:45:00+00:00,AUDUSD=X,WIN,11.5,,,1.094,SELL
2025-11-12 00:15:00+00:00,USDJPY=X,LOSS,9.0,,,0.105,SELL
2025-11-12 07:30:00+00:00,AUDUSD=X,WIN,10.0,,,1.114,SELL
2025-11-12 10:30:00+00:00,USDCAD=X,WIN,9.5,,,1.024,SELL
2025-11-12 17:30:00+00:00,AUDUSD=X,LOSS,9.5,,,0.0,SELL
2025-11-12 22:00:00+00:00,EURUSD=X,WIN,11.5,,,1.65,SELL
2025-11-13 00:15:00+00:00,USDJPY=X,BE,9.0,,,0.719,SELL
2025-11-13 06:30:00+00:00,USDJPY=X,WIN,9.0,,,1.368,SELL
2025-11-13 08:30:00+00:00,GC=F,BE,9.5,,,0.751,SELL
2025-11-14 03:00:00+00:00,USDJPY=X,LOSS,9.0,,0.0010758682003531783,0.225,BUY
2025-11-14 03:30:00+00:00,GC=F,WIN,10.0,,,1.194,SELL
2025-11-14 13:00:00+00:00,USDCAD=X,LOSS,9.5,0.0009,0.0004728834540523799,0.523,BUY
2025-11-17 00:15:00+00:00,GBPUSD=X,WIN,10.0,0.0028,9.15975598365604e-05,1.159,BUY
2025-11-17 00:15:00+00:00,NZDUSD=X,LOSS,10.0,0.0085,0.0006925650358021376,0.648,BUY
2025-11-18 01:30:00+00:00,USDJPY=X,LOSS,9.0,0.0155,0.0035983535558276095,0.363,BUY
2025-11-18 08:15:00+00:00,EURUSD=X,WIN,11.5,-0.0017,-0.0004143183933791911,1.364,SELL
2025-11-18 08:30:00+00:00,USDCAD=X,LOSS,9.5,0.0047,0.0007518192323250656,0.425,BUY
2025-11-18 10:45:00+00:00,GC=F,LOSS,9.5,-0.0538,-0.012713366007719419,0.482,SELL
2025-11-18 11:45:00+00:00,AUDUSD=X,BE,9.5,-0.0103,-0.002267594845017741,0.755,SELL
2025-11-18 15:00:00+00:00,USDJPY=X,BE,9.0,0.0125,0.003223453164311065,0.978,BUY
2025-11-18 15:30:00+00:00,EURUSD=X,WIN,11.5,-0.0019,-0.0012615062550555933,1.261,SELL
2025-11-18 15:30:00+00:00,GBPUSD=X,WIN,11.5,-0.0015,-0.0008654246653538387,1.628,SELL
2025-11-19 00:15:00+00:00,USDJPY=X,LOSS,9.0,0.016,0.0036912289108402313,0.301,BUY
2025-11-19 06:30:00+00:00,EURUSD=X,WIN,10.0,-0.0017,-0.0004793311538504182,1.297,SELL
2025-11-19 08:15:00+00:00,USDCAD=X,LOSS,9.5,-0.0055,-0.0009832284456651732,0.319,SELL
2025-11-19 14:15:00+00:00,USDCAD=X,WIN,9.5,-0.0015,-0.000646011185795945,1.314,SELL
2025-11-19 15:15:00+00:00,^GSPC,WIN,9.0,,,1.302,SELL
2025-11-20 07:15:00+00:00,NZDUSD=X,LOSS,10.0,-0.0223,-0.005834660753319223,0.391,SELL
2025-11-20 08:00:00+00:00,GBPUSD=X,BE,11.5,-0.0167,-0.00421173564725167,1.511,SELL
2025-11-20 08:45:00+00:00,USDJPY=X,LOSS,9.0,0.041,0.009045207361141255,0.091,BUY
2025-11-20 15:00:00+00:00,^GSPC,WIN,11.0,,,1.034,SELL
2025-11-20 15:00:00+00:00,^IXIC,BE,11.0,,,0.686,SELL
2025-11-21 04:15:00+00:00,GBPUSD=X,LOSS,10.0,-0.006,-0.0013406875057288632,0.519,SELL
2025-11-21 07:15:00+00:00,USDJPY=X,LOSS,9.0,0.0159,0.0025067398252229516,0.043,BUY
2025-11-21 07:45:00+00:00,EURUSD=X,WIN,10.0,-0.0056,-0.0014232367958409557,1.215,SELL
