t,symbol,res,r,strategy,velocity,zscore,signal
2026-02-03 15:55:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.26859288842497353,1.547663311603634,0.9018
2026-02-03 17:00:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.20456741983657714,1.9578447791015394,1.038
2026-02-03 17:15:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.1706968357095089,2.0737488004654856,1.1012
2026-02-05 13:35:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.13418748473336725,2.043354586370422,1.1428
2026-02-05 13:40:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.15019007434817888,1.7634924868527757,1.005
2026-02-05 13:50:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.18872049170096644,2.276249138596898,1.2731
2026-02-05 13:55:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.21307829781493964,2.7478077412800257,1.5152
2026-02-05 14:00:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.2104070808465539,3.1202813231888933,1.7088
2026-02-05 14:10:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.19709154008002294,3.020475577577935,1.6629
2026-02-05 14:15:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.19356359385453806,2.018206297380483,1.1608
2026-02-05 14:20:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.1984710774278933,2.1011307358536193,1.2002
2026-02-05 14:35:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.1733641670045151,1.7703956056295962,1.0232
2026-02-09 08:00:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.0918255827040311,2.110126931492148,1.1575
2026-02-09 08:05:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.09151659733726869,1.9235530372268108,1.0606
2026-02-09 08:10:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.09245685040604959,1.8590442191552912,1.0234
2026-02-09 08:15:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.09868891623548019,1.904473128333986,1.0537
2026-02-09 09:00:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.10739418716935448,1.9752073082482224,1.0684
2026-02-09 09:10:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.1269121189868681,1.6532156069399915,0.9016
2026-02-09 13:30:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.40037799529004253,2.5498494996934844,1.4167
2026-02-09 13:35:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.39137931445113877,2.196302197470812,1.2407
2026-02-09 13:40:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.41376217295763323,2.143762790988774,1.2113
2026-02-09 13:45:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.42632865097221606,2.2769216907948384,1.2779
2026-02-09 13:50:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.4089241506606902,2.6560755150899404,1.4831
2026-02-09 13:55:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.4404657922334998,2.472068693460917,1.3953
2026-02-09 14:00:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.44818342495625757,2.556633390919637,1.4471
2026-02-09 14:05:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.4686853495165107,2.633444111459522,1.4874
2026-02-09 14:10:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.46638592135600265,2.7828819534847913,1.5662
2026-02-09 14:15:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.46325902195887725,2.5971534337381694,1.4736
2026-02-09 14:20:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.4749858550995291,2.626542814902759,1.4878
2026-02-09 14:25:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.4884549022774777,2.657558619865858,1.5036
2026-02-09 14:30:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.4403622447005817,2.2462132773569765,1.2894
2026-02-09 14:35:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.4109766026553826,2.0972241276138783,1.1996
2026-02-09 14:40:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.38521302669107405,2.1822925834226545,1.2311
2026-02-09 14:45:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.35245379083909306,2.02960909923713,1.1399
2026-02-09 14:50:00+00:00,EURUSD=X,WIN,2.5,INTRADAY,0.3230935344580178,1.9589329849934176,1.0961
2026-02-09 14:55:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.2975305342131769,2.236464600706697,1.2392
2026-02-09 15:00:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.2861253535618909,2.343731483378282,1.3005
2026-02-09 15:05:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.2585085726705567,1.8459087005066557,1.0553
2026-02-10 08:40:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.09384769975596752,2.1719926515523413,1.192
2026-02-10 09:05:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.15639184562406724,1.5014935158796359,0.8587
2026-02-10 09:10:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.1620382293562048,1.79680196126603,1.0067
2026-02-10 09:20:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.1497702810394624,2.336658161494252,1.2741
2026-02-10 09:25:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.17693291816101078,2.553290582116304,1.3793
2026-02-10 14:15:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.27074951268713726,1.8640329420514268,1.0758
2026-02-10 14:20:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.35404519385212085,1.800664053132012,1.0596
2026-02-10 14:25:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.3959584110527536,1.9449350060591846,1.1398
2026-02-10 14:30:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.4154716900037883,2.820893960701184,1.5934
2026-02-10 14:35:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.3941588484391606,1.7510021921444658,1.0623
2026-02-12 15:50:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.07291368883426047,2.0766566015457766,1.1089
2026-02-12 16:05:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.07082735263176829,2.0120809789695446,1.0752
2026-02-13 13:35:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.14144657994106358,2.4517577755798916,1.3505
2026-02-13 13:40:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.16305347944344123,2.3186926329469184,1.2915
2026-02-13 13:50:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.15025877477728816,2.421302153324721,1.3478
2026-02-13 13:55:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.15750426847149293,2.5532199982290904,1.4168
2026-02-13 14:10:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.15844895740221213,1.7822382660196603,1.0287
2026-02-13 16:35:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.006471571599521525,1.6636882805220983,0.8675
2026-02-13 17:10:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.28518805263913233,2.932284309607649,1.5572
2026-02-13 17:15:00+00:00,EURUSD=X,LOSS,-1.0,INTRADAY,0.30913968872404857,2.119398486394551,1.1592
