Session,N,AvgRet%,WinRate,T-stat,P-val,Bias,Significant,Symbol
Asian Open (00h),362,0.0046,0.481,0.86,0.39,BULL,False,EURUSD
London Open (08h),362,0.0161,0.519,3.04,0.003,BULL,True,EURUSD
NY Open (13h),360,0.009,0.522,1.22,0.225,BULL,False,EURUSD
London Close (16h),359,-0.011,0.426,-2.02,0.044,BEAR,True,EURUSD
NY Close (21h),361,0.0086,0.493,2.69,0.008,BULL,True,EURUSD
Asian Open (00h),362,-0.0007,0.494,-0.16,0.877,BEAR,False,GBPUSD
London Open (08h),362,0.0085,0.528,1.55,0.122,BULL,False,GBPUSD
NY Open (13h),360,-0.0017,0.481,-0.23,0.817,BEAR,False,GBPUSD
London Close (16h),359,-0.0048,0.476,-0.93,0.352,BEAR,False,GBPUSD
NY Close (21h),361,-0.0,0.446,-0.02,0.987,BEAR,False,GBPUSD
Asian Open (00h),361,-0.0047,0.504,-0.54,0.587,BEAR,False,USDJPY
London Open (08h),360,-0.0052,0.489,-0.76,0.448,BEAR,False,USDJPY
NY Open (13h),360,-0.013,0.461,-1.62,0.106,BEAR,False,USDJPY
London Close (16h),359,0.0058,0.515,0.99,0.325,BULL,False,USDJPY
NY Close (21h),333,-0.01,0.348,-2.65,0.008,BEAR,True,USDJPY
Asian Open (00h),363,-0.0132,0.463,-1.84,0.066,BEAR,False,AUDUSD
London Open (08h),364,0.0098,0.522,1.61,0.109,BULL,False,AUDUSD
NY Open (13h),364,0.0002,0.511,0.02,0.983,BULL,False,AUDUSD
London Close (16h),363,-0.009,0.468,-1.38,0.168,BEAR,False,AUDUSD
NY Close (21h),362,0.0041,0.492,1.05,0.297,BULL,False,AUDUSD
Asian Open (00h),361,-0.0038,0.501,-0.57,0.571,BEAR,False,GBPJPY
London Open (08h),362,0.0038,0.528,0.52,0.603,BULL,False,GBPJPY
NY Open (13h),360,-0.0146,0.467,-1.96,0.051,BEAR,False,GBPJPY
London Close (16h),359,0.0019,0.493,0.32,0.752,BULL,False,GBPJPY
NY Close (21h),362,-0.0106,0.345,-2.89,0.004,BEAR,True,GBPJPY
Asian Open (00h),292,0.0214,0.527,1.46,0.146,BULL,False,GOLD
London Open (08h),297,0.0222,0.596,1.44,0.151,BULL,False,GOLD
NY Open (13h),298,-0.0086,0.517,-0.4,0.689,BEAR,False,GOLD
London Close (16h),300,0.0362,0.573,2.0,0.046,BULL,True,GOLD
NY Close (21h),131,0.0196,0.527,1.1,0.275,BULL,False,GOLD
Asian Open (00h),282,-0.0076,0.45,-0.31,0.76,BEAR,False,OIL
London Open (08h),295,-0.0332,0.461,-1.25,0.213,BEAR,False,OIL
NY Open (13h),298,-0.0468,0.46,-1.37,0.17,BEAR,False,OIL
London Close (16h),300,-0.0071,0.517,-0.26,0.797,BEAR,False,OIL
NY Close (21h),127,0.0624,0.646,3.04,0.003,BULL,True,OIL
Asian Open (00h),364,-0.0273,0.486,-1.03,0.302,BEAR,False,BTC
London Open (08h),363,0.0246,0.523,1.39,0.167,BULL,False,BTC
NY Open (13h),363,-0.027,0.466,-0.96,0.338,BEAR,False,BTC
London Close (16h),364,-0.0291,0.475,-0.92,0.358,BEAR,False,BTC
NY Close (21h),364,0.0424,0.538,2.01,0.046,BULL,True,BTC
