Symbol,Day,Hour,AvgRet%,WinRate,T-stat,P-val,N
OIL,Fri,21,0.07690428207409822,0.673469387755102,2.419018218077082,0.019402446925810456,49
BTC,Fri,13,0.13161999136462657,0.6153846153846154,2.0077585441956645,0.047287631816134594,104
BTC,Fri,9,0.09960090843095795,0.6057692307692307,2.2225336694113005,0.028433467626386745,104
GBPJPY,Fri,5,0.017243800451326813,0.5616438356164384,2.2455794332346963,0.02624339323492525,146
GBPUSD,Fri,1,-0.009944351398926842,0.4863013698630137,-2.0639222927325473,0.04080762433308887,146
BTC,Fri,20,-0.10820654429267372,0.4807692307692308,-2.144985608340409,0.034304848181533995,104
AUDUSD,Fri,4,-0.020442123683350338,0.4589041095890411,-2.488673389562903,0.013953103358341821,146
OIL,Fri,13,-0.11944399192286709,0.43333333333333335,-2.0983080785081514,0.03799317202551096,120
OIL,Fri,19,-0.05956144187521939,0.4260869565217391,-2.0622971392976255,0.041452129791028344,115
GBPUSD,Fri,4,-0.006812903771400927,0.4178082191780822,-2.137041910462999,0.034272369181242164,146
EURUSD,Fri,1,-0.015968602767781157,0.4041095890410959,-3.0289581193065733,0.0029060114050616947,146
GBPJPY,Fri,20,-0.01304649079456388,0.36551724137931035,-2.493948058312524,0.013763973349270807,145
EURUSD,Fri,4,-0.00725122939069144,0.363013698630137,-2.270467728649691,0.02465270602835069,146
EURUSD,Fri,16,-0.02017746111680827,0.35172413793103446,-2.4375743362037094,0.016004854071835387,145
BTC,Fri,7,-0.13897835991354898,0.3173076923076923,-2.990272331526013,0.0034867609608090384,104
GBPJPY,Fri,21,-0.006507730364654035,0.22758620689655173,-2.0863676306195145,0.03870867426942826,145
GBPJPY,Fri,22,0.00528380916771367,0.2222222222222222,2.22908094933193,0.030070923180776397,54
GBPJPY,Mon,15,0.027125380993955173,0.6083916083916084,2.24692742250115,0.026187170913718597,143
GBPUSD,Mon,4,0.00785501533180935,0.5902777777777778,2.176446910592286,0.031163479768121234,144
USDJPY,Mon,7,0.03812957740863797,0.5902777777777778,2.5346096116711068,0.012333608701403131,144
AUDUSD,Mon,21,0.015720819786976127,0.589041095890411,2.5970158178336202,0.010372774134657389,146
GBPJPY,Mon,23,0.017707263992501318,0.5862068965517241,2.213960545769864,0.028403899031126834,145
GBPUSD,Mon,20,0.007353893745931093,0.5684931506849316,2.595638192716195,0.010412556437242091,146
GBPJPY,Mon,17,0.01342658059746967,0.5664335664335665,2.129285396883688,0.034955748294344315,143
