Symbol,Hour,Type,Count,NextHourAvgRet%,Edge
EURUSD,7,TopPin,22,-0.006113339110032353,Neutral
EURUSD,8,TopPin,17,-0.0021129186192235675,Neutral
EURUSD,9,TopPin,15,-0.01964539200302801,Neutral
EURUSD,12,TopPin,33,0.0012789190274718866,Neutral
EURUSD,13,TopPin,43,-0.027854617046947826,Neutral
EURUSD,14,TopPin,46,0.022081681863654,Neutral
EURUSD,15,TopPin,27,-0.020078536934110207,Neutral
GBPUSD,7,TopPin,21,-0.03175747251844223,Neutral
GBPUSD,8,TopPin,22,0.008810110309421415,Neutral
GBPUSD,10,TopPin,14,0.00850904159570245,Neutral
GBPUSD,11,TopPin,12,0.05300170667689006,Neutral
GBPUSD,12,TopPin,30,-0.0187607195608429,Neutral
GBPUSD,13,TopPin,35,-0.02193173111573031,Neutral
GBPUSD,14,TopPin,41,-0.005606479119048017,Neutral
GBPUSD,15,TopPin,23,-0.010510938097473709,Neutral
USDJPY,12,TopPin,22,0.02097965916461765,Neutral
USDJPY,13,TopPin,16,-0.037220088953900714,Neutral
USDJPY,14,TopPin,21,0.029677542887616582,Neutral
USDJPY,15,TopPin,13,0.013494811223191489,Neutral
AUDUSD,1,TopPin,12,-0.03341936278606313,Neutral
AUDUSD,7,TopPin,11,-0.005803122325837167,Neutral
AUDUSD,12,TopPin,22,0.004397381025069285,Neutral
AUDUSD,13,TopPin,25,0.01231007363970333,Neutral
AUDUSD,14,TopPin,21,0.04600030523109862,Neutral
AUDUSD,15,TopPin,13,0.03558620736564829,Neutral
GBPJPY,6,TopPin,11,0.014067371015188089,Neutral
GBPJPY,8,TopPin,12,0.03850757257527826,Neutral
GBPJPY,13,TopPin,14,0.002100005447891882,Neutral
GBPJPY,14,TopPin,23,0.05193265568883884,Neutral
GOLD,12,TopPin,23,0.0862581278758284,Neutral
GOLD,13,TopPin,36,0.003930121357335705,Neutral
GOLD,14,TopPin,29,-0.04594790279353847,Neutral
GOLD,15,TopPin,22,-0.10444182802082783,BEAR
OIL,12,TopPin,20,-0.26575866242828816,BEAR
OIL,13,TopPin,35,0.030996992128410034,Neutral
OIL,14,TopPin,38,-0.30395693086669884,BEAR
OIL,15,TopPin,40,0.03474672738997945,Neutral
OIL,16,TopPin,22,-0.10395074654895288,BEAR
OIL,17,TopPin,11,0.00914526065256417,Neutral
BTC,13,TopPin,18,-0.06613767575870914,BEAR
BTC,14,TopPin,35,0.1198849691624395,Neutral
BTC,15,TopPin,16,-0.3502526925133878,BEAR
BTC,16,TopPin,15,0.14117561043225388,Neutral
BTC,19,TopPin,13,0.21983455707881416,Neutral
